Topic_Year,Topic_num,Sum_Citation,Five_Year_Percent,Three_Year_Percent,Sum_SJR,Avg_SJR,Year,Topic,Growth_Rate,Citation_Growth_Rate,Year_Sum,Topic_Percent_By_Year,Percent_By_Year_Growth_Rate
3_2006,95.0,1180.0,0.22818791946308725,0.3253588516746411,43.566,0.6406764705882352,2006,3,1.0652173913043477,-0.7675334909377463,1326.0,0.07164404223227752,0.5169847203095284
3_2007,68.0,6055.0,0.26,0.35826771653543305,101.706,1.1176483516483515,2007,3,-0.28421052631578947,4.13135593220339,1145.0,0.059388646288209605,-0.17105952654562162
3_2008,91.0,4072.0,0.2,0.3205128205128205,95.67799999999998,1.2757066666666663,2008,3,0.33823529411764697,-0.3274979355904212,1673.0,0.05439330543933055,-0.08411272458774299
3_2009,75.0,2604.0,0.2258823529411765,0.36641221374045796,104.42399999999996,1.0877499999999996,2009,3,-0.17582417582417587,-0.36051080550098236,1850.0,0.04054054054054054,-0.25467775467775466
3_2010,96.0,2618.0,0.234338747099768,0.3713235294117647,134.153,1.3282475247524752,2010,3,0.28,0.005376344086021501,2022.0,0.04747774480712166,0.17111770524233427
3_2011,101.0,2808.0,0.22929936305732485,0.3540983606557377,128.16000000000003,1.1866666666666672,2011,3,0.05208333333333326,0.07257448433919023,2397.0,0.042136003337505216,-0.11251042970379643
3_2012,108.0,1723.0,0.20502092050209209,0.31921824104234525,78.81400000000002,0.8042244897959185,2012,3,0.06930693069306937,-0.38639601139601143,2522.0,0.04282315622521808,0.01630797496878955
3_2013,98.0,2657.0,0.263254113345521,0.4114285714285714,134.54399999999998,0.9343333333333336,2013,3,-0.09259259259259256,0.5420777713290772,2827.0,0.034665723381676686,-0.19049116325380921
3_2014,144.0,2266.0,0.2329931972789116,0.3614775725593667,161.6589999999999,1.1799927007299262,2014,3,0.4693877551020409,-0.1471584493789989,3155.0,0.045641838351822506,0.31662731653675746
3_2015,137.0,1535.0,0.2232854864433812,0.332541567695962,164.84400000000002,1.1774571428571428,2015,3,-0.04861111111111116,-0.32259488084730803,3537.0,0.038733389878428046,-0.15136218703860782
3_2016,140.0,1772.0,0.2265275707898659,0.3543123543123543,169.922,1.1179078947368422,2016,3,0.021897810218978186,0.15439739413680775,3669.0,0.03815753611338239,-0.014867115087346505
3_2017,152.0,860.0,0.22357723577235766,0.3610503282275711,179.135,1.0856666666666666,2017,3,0.08571428571428563,-0.5146726862302483,3938.0,0.038598273235144746,0.0115504607124719
3_2018,165.0,211.0,0.19621109607577808,0.31385281385281383,0.0,0.0,2018,3,0.08552631578947367,-0.7546511627906977,4194.0,0.03934191702432046,0.019266245011670735
4_2002,63.0,3801.0,0.3491379310344828,0.5625,62.89099999999999,0.776432098765432,2002,4,,,587.0,0.10732538330494037,
4_2003,81.0,4174.0,0.31272727272727274,0.3739130434782609,65.2,0.7581395348837209,2003,4,0.2857142857142858,0.09813207050776107,715.0,0.11328671328671329,0.05554445554445553
4_2004,86.0,3579.0,0.2966360856269113,0.3674242424242424,46.759999999999984,0.4820618556701029,2004,4,0.06172839506172845,-0.1425491135601341,830.0,0.10361445783132531,-0.085378551242005
4_2005,97.0,8055.0,0.29067245119305857,0.4227129337539432,92.53100000000002,0.6905298507462688,2005,4,0.12790697674418605,1.2506286672254818,974.0,0.09958932238193019,-0.038847237476720364
4_2006,134.0,3384.0,0.2055888223552894,0.3083832335329341,42.31699999999999,0.4108446601941747,2006,4,0.38144329896907214,-0.5798882681564246,1326.0,0.10105580693815988,0.01472531915224451
4_2007,103.0,5846.0,0.3103448275862069,0.4436619718309859,136.372,0.7215449735449735,2007,4,-0.23134328358208955,0.7275413711583925,1145.0,0.08995633187772925,-0.10983510395620166
4_2008,189.0,8366.0,0.2654494382022472,0.39293139293139295,144.60799999999992,0.7651216931216926,2008,4,0.8349514563106797,0.43106397536777274,1673.0,0.11297071129707113,0.2558394605354024
4_2009,189.0,8280.0,0.25273390036452004,0.3549488054607509,177.5889999999999,0.8537932692307689,2009,4,0.0,-0.01027970356203678,1850.0,0.10216216216216216,-0.0956756756756757
4_2010,208.0,9004.0,0.2762605042016807,0.3984848484848485,232.855,0.8853802281368822,2010,4,0.10052910052910047,0.08743961352657004,2022.0,0.10286844708209693,0.006913370909414462
4_2011,263.0,7915.0,0.2513227513227513,0.37698412698412703,225.60100000000008,0.7915824561403513,2011,4,0.26442307692307687,-0.12094624611283877,2397.0,0.10972048393825615,0.0666097044382401
4_2012,285.0,6896.0,0.26229508196721313,0.3800904977375565,203.46400000000025,0.6055476190476197,2012,4,0.08365019011406849,-0.12874289324068222,2522.0,0.11300555114988105,0.02994032740024677
4_2013,336.0,6829.0,0.2546075085324232,0.375251509054326,271.82100000000014,0.7287426273458448,2013,4,0.17894736842105252,-0.00971577726218098,2827.0,0.11885390873717722,0.05175283450933654
4_2014,373.0,7187.0,0.25356294536817103,0.3758802816901409,320.9489999999998,0.7516370023419199,2014,4,0.11011904761904767,0.052423488065602486,3155.0,0.11822503961965135,-0.005291110104897689
4_2015,427.0,5808.0,0.23766094420600856,0.3563958165728077,313.6719999999994,0.7080632054176059,2015,4,0.14477211796246658,-0.19187421733685817,3537.0,0.12072377721232683,0.021135434597563396
4_2016,443.0,4073.0,0.22598039215686275,0.34635612321562737,376.30300000000017,0.8162754880694146,2016,4,0.0374707259953162,-0.2987258953168044,3669.0,0.12074134641591715,0.00014553225550106852
4_2017,461.0,2443.0,0.22298221614227087,0.35104091888011485,425.0029999999999,0.8691267893660529,2017,4,0.040632054176072296,-0.4001964154186104,3938.0,0.11706449974606399,-0.03045225831081544
4_2018,489.0,722.0,0.21177999133824169,0.339819318971508,0.0,0.0,2018,4,0.06073752711496749,-0.7044617273843634,4194.0,0.11659513590844063,-0.004009446404687145
5_2002,36.0,2337.0,0.2542372881355932,0.4545454545454545,25.66800000000001,0.8556000000000002,2002,5,,,587.0,0.06132879045996593,
5_2003,30.0,1224.0,0.2962962962962963,0.37735849056603776,27.09,0.67725,2003,5,-0.16666666666666663,-0.47625160462130933,715.0,0.04195804195804196,-0.31585081585081576
5_2004,40.0,2195.0,0.24285714285714285,0.3269230769230769,19.127,0.5625588235294118,2004,5,0.33333333333333326,0.7933006535947713,830.0,0.04819277108433735,0.14859437751004023
5_2005,34.0,3604.0,0.3,0.4477611940298508,47.202,0.7867,2005,5,-0.15000000000000002,0.6419134396355353,974.0,0.03490759753593429,-0.2756673511293636
5_2006,60.0,1380.0,0.21904761904761905,0.32857142857142857,32.919999999999995,0.7156521739130434,2006,5,0.7647058823529411,-0.6170921198668147,1326.0,0.04524886877828054,0.2962470055895663
5_2007,46.0,2357.0,0.23404255319148934,0.3416149068322981,47.297,0.8599454545454545,2007,5,-0.23333333333333328,0.7079710144927536,1145.0,0.04017467248908297,-0.11213973799126631
5_2008,55.0,1622.0,0.2641509433962264,0.4093567251461988,38.17100000000001,0.5453000000000001,2008,5,0.19565217391304346,-0.31183708103521424,1673.0,0.0328750747160789,-0.18169650978455776
5_2009,70.0,2799.0,0.2524271844660194,0.3842364532019704,60.581999999999994,0.7766923076923076,2009,5,0.2727272727272727,0.7256473489519113,1850.0,0.03783783783783784,0.1509582309582309
5_2010,78.0,2440.0,0.25449101796407186,0.3648068669527897,78.66400000000002,0.925458823529412,2010,5,0.11428571428571432,-0.12826009289031792,2022.0,0.03857566765578635,0.019499788045782118
5_2011,85.0,1327.0,0.19101123595505615,0.2943722943722944,79.74199999999998,1.1726764705882349,2011,5,0.08974358974358965,-0.45614754098360655,2397.0,0.03546099290780142,-0.08074195308237853
5_2012,68.0,2460.0,0.22422680412371132,0.3625,101.26000000000002,1.1639080459770117,2012,5,-0.19999999999999996,0.8538055764883195,2522.0,0.02696272799365583,-0.23965107057890567
5_2013,87.0,2946.0,0.2446555819477435,0.3992248062015504,89.56399999999998,0.8695533980582523,2013,5,0.27941176470588225,0.19756097560975605,2827.0,0.0307746727980191,0.14137830583241429
5_2014,103.0,2030.0,0.23608017817371935,0.3581081081081081,135.36299999999994,1.2770094339622635,2014,5,0.1839080459770115,-0.31093007467752887,3155.0,0.03264659270998415,0.06082663897845042
5_2015,106.0,1422.0,0.22055674518201285,0.3301282051282051,110.65,1.074271844660194,2015,5,0.029126213592232997,-0.2995073891625616,3537.0,0.029968900197907832,-0.08202058131651246
5_2016,103.0,1140.0,0.2597402597402597,0.4011461318051576,123.829,0.8844928571428571,2016,5,-0.028301886792452824,-0.19831223628691985,3669.0,0.028073044426274188,-0.06326077230441696
5_2017,140.0,574.0,0.2206896551724138,0.3450134770889488,148.26199999999997,1.1582968749999998,2017,5,0.35922330097087385,-0.4964912280701754,3938.0,0.03555104113763331,0.26637640712598665
5_2018,128.0,161.0,0.24285714285714285,0.36342042755344417,0.0,0.0,2018,5,-0.08571428571428574,-0.7195121951219512,4194.0,0.030519790176442536,-0.1415219020369235
6_2002,40.0,2900.0,0.2987012987012987,0.5348837209302325,28.29400000000001,0.6150869565217393,2002,6,,,587.0,0.06814310051107325,
6_2003,46.0,1701.0,0.22,0.2773109243697479,37.18099999999999,1.1266969696969693,2003,6,0.1499999999999999,-0.413448275862069,715.0,0.06433566433566433,-0.05587412587412588
