Topic_Year,Topic_num,Sum_Citation,Five_Year_Percent,Three_Year_Percent
6_2009,88.0,3863.0,0.21065989847715735,0.32806324110671936
6_2010,83.0,2544.0,0.21375921375921375,0.3372093023255814
6_2011,87.0,2072.0,0.24107142857142858,0.38848920863309355
6_2012,108.0,1551.0,0.2294736842105263,0.35855263157894735
6_2013,109.0,1840.0,0.2053388090349076,0.31545741324921134
6_2014,100.0,2008.0,0.25735294117647056,0.40114613180515757
6_2015,140.0,1503.0,0.22146507666098808,0.35135135135135137
6_2016,130.0,1890.0,0.2444794952681388,0.36470588235294116
6_2017,155.0,742.0,0.2268041237113402,0.35079726651480636
6_2018,154.0,230.0,0.2079343365253078,0.3297180043383948
7_2002,42.0,6414.0,0.3618421052631579,0.5670103092783505
7_2003,55.0,9405.0,0.3434343434343434,0.4121212121212121
7_2004,68.0,8872.0,0.37969924812030076,0.45089285714285715
7_2005,101.0,19658.0,0.3316582914572864,0.43853820598006643
7_2006,132.0,7315.0,0.227765726681128,0.3106508875739645
7_2007,105.0,13932.0,0.31186440677966104,0.43705463182897863
7_2008,184.0,12795.0,0.2897959183673469,0.4243027888446215
7_2009,213.0,13431.0,0.25059101654846333,0.34811165845648606
7_2010,212.0,14754.0,0.2780586450960566,0.39285714285714285
7_2011,275.0,16266.0,0.2818846466287571,0.41606714628297364
7_2012,347.0,12897.0,0.25427350427350426,0.36465781409601633
7_2013,357.0,11550.0,0.25329153605015675,0.36462093862815886
7_2014,404.0,11661.0,0.23801652892561984,0.36211232187761944
7_2015,432.0,9521.0,0.2413793103448276,0.3695324283559578
7_2016,490.0,7354.0,0.2449528936742934,0.37193460490463215
7_2017,546.0,4482.0,0.23121149897330595,0.3520950594121326
7_2018,563.0,1156.0,0.24526198439241917,0.3730921424533635
8_2002,46.0,2219.0,0.3136094674556213,0.5353535353535354
8_2003,53.0,3637.0,0.3010204081632653,0.37341772151898733
8_2004,59.0,6564.0,0.3218884120171674,0.40106951871657753
8_2005,75.0,8482.0,0.2917933130699088,0.41739130434782606
8_2006,96.0,5165.0,0.2572178477690289,0.3643122676579926
8_2007,98.0,7075.0,0.3050847457627119,0.4260355029585799
8_2008,144.0,7403.0,0.26512455516014233,0.38107416879795397
8_2009,149.0,7980.0,0.27095808383233533,0.3818565400843882
8_2010,181.0,10383.0,0.2955665024630542,0.42105263157894735
8_2011,240.0,8583.0,0.24604012671594508,0.3562691131498471
8_2012,233.0,7673.0,0.2557924003707136,0.3684913217623498
8_2013,276.0,8156.0,0.26713947990543735,0.39976415094339623
8_2014,339.0,7978.0,0.25530458590006844,0.3775303643724696
8_2015,373.0,6570.0,0.2462962962962963,0.35913591359135916
8_2016,399.0,5973.0,0.2445533769063181,0.3677313677313677
8_2017,449.0,2731.0,0.23641703377386197,0.3628850488354621
8_2018,483.0,738.0,0.23104693140794225,0.3545706371191136
9_2002,62.0,2117.0,0.25609756097560976,0.504
9_2003,63.0,2352.0,0.25660377358490566,0.35233160621761656
9_2004,68.0,3317.0,0.3204225352112676,0.4099099099099099
9_2005,91.0,5381.0,0.29,0.4218181818181818
9_2006,116.0,2428.0,0.20470588235294118,0.29591836734693877
9_2007,87.0,5016.0,0.2874015748031496,0.4183381088825215
9_2008,146.0,4998.0,0.2786885245901639,0.4218362282878412
9_2009,170.0,5843.0,0.26591230551626593,0.373015873015873
9_2010,188.0,5132.0,0.2528445006321112,0.35842293906810035
9_2011,200.0,4979.0,0.22209944751381216,0.34125636672325976
9_2012,201.0,4445.0,0.22944162436548224,0.36044657097288674
9_2013,226.0,4037.0,0.23113207547169812,0.3645833333333333
9_2014,245.0,4523.0,0.2540633019674936,0.38671875
9_2015,297.0,2930.0,0.22727272727272727,0.34461910519951633
9_2016,285.0,2694.0,0.22743947175348497,0.3475336322869955
9_2017,310.0,1283.0,0.2307171853856563,0.3643162393162393
9_2018,341.0,381.0,0.20502901353965183,0.3281733746130031
10_2002,23.0,1742.0,0.3516483516483517,0.5818181818181818
10_2003,32.0,2259.0,0.41228070175438597,0.46078431372549017
10_2004,47.0,2581.0,0.3013698630136986,0.35772357723577236
10_2005,44.0,1992.0,0.24742268041237114,0.34532374100719426
10_2006,48.0,1601.0,0.20833333333333334,0.3284671532846715
10_2007,45.0,4513.0,0.26104417670682734,0.41139240506329117
10_2008,65.0,2779.0,0.27075812274368233,0.40540540540540543
10_2009,75.0,2633.0,0.26031746031746034,0.36936936936936937
10_2010,82.0,2541.0,0.25,0.3617886178861789
10_2011,89.0,2878.0,0.2647754137115839,0.3957597173144876
10_2012,112.0,2715.0,0.2618556701030928,0.3871951219512195
10_2013,127.0,2461.0,0.23933209647495363,0.35054347826086957
10_2014,129.0,2797.0,0.2605177993527508,0.38609112709832133
10_2015,161.0,1934.0,0.21861152141802068,0.3378995433789954
10_2016,148.0,1627.0,0.23441734417344173,0.35892116182572614
10_2017,173.0,1176.0,0.2557856272838002,0.3954802259887006
10_2018,210.0,283.0,0.237045203969129,0.3595317725752508
11_2002,30.0,2013.0,0.34710743801652894,0.5833333333333334
11_2003,42.0,3091.0,0.3188405797101449,0.3793103448275862
11_2004,44.0,4300.0,0.3216374269005848,0.3900709219858156
11_2005,55.0,3835.0,0.2962962962962963,0.42105263157894735
11_2006,72.0,1632.0,0.1839080459770115,0.2742857142857143
11_2007,48.0,3421.0,0.2724252491694352,0.40594059405940597
11_2008,82.0,2790.0,0.25072886297376096,0.39814814814814814
11_2009,86.0,2404.0,0.25773195876288657,0.373134328358209
11_2010,100.0,4870.0,0.2882882882882883,0.40764331210191085
11_2011,128.0,3014.0,0.21115537848605578,0.31736526946107785
11_2012,106.0,3138.0,0.2526690391459075,0.3776595744680851
11_2013,142.0,2855.0,0.2347266881028939,0.37055837563451777
11_2014,146.0,2924.0,0.239067055393586,0.36283185840707965
11_2015,164.0,1998.0,0.2345679012345679,0.35550935550935553
11_2016,171.0,1632.0,0.21733668341708542,0.3405511811023622
11_2017,173.0,939.0,0.22511848341232227,0.35580524344569286
11_2018,190.0,301.0,0.23042998897464168,0.36538461538461536
12_2002,30.0,3027.0,0.23711340206185566,0.4339622641509434
12_2003,23.0,2006.0,0.27884615384615385,0.35365853658536583
