Cluster_Topic,PY,Topic_Year,PT,PG,Have_Funding_Agency,Author_count,Funding_agency_count,Squeezed_Publisher,Contain_Top_All_authors,Contain_Top_All_funding_agencies,Count_of_top_funding_agency,Contain_Top_PU
1,2000,1_2000,J,12,0,9,0,AMER CHEMICAL SOC,0.0,0.0,0,1.0
7,2000,7_2000,J,15,0,7,0,AMER CHEMICAL SOC,0.0,0.0,0,1.0
4,2000,4_2000,J,13,0,8,0,Other Publishers,0.0,0.0,0,0.0
10,2000,10_2000,J,7,0,1,0,Other Publishers,0.0,0.0,0,0.0
12,2000,12_2000,J,7,0,6,0,Other Publishers,0.0,0.0,0,0.0
3,2000,3_2000,J,17,0,4,0,ELSEVIER SCI LTD,0.0,0.0,0,1.0
5,2000,5_2000,J,15,0,1,0,ELSEVIER SCI LTD,0.0,0.0,0,1.0
1,2000,1_2000,J,9,0,3,0,ELSEVIER SCI LTD,0.0,0.0,0,1.0
1,2000,1_2000,J,5,0,3,0,ELSEVIER SCI LTD,0.0,0.0,0,1.0
5,2000,5_2000,J,5,0,5,0,ELSEVIER SCI LTD,0.0,0.0,0,1.0
7,2000,7_2000,J,5,0,4,0,Other Publishers,0.0,0.0,0,0.0
10,2000,10_2000,J,7,0,9,0,Other Publishers,0.0,0.0,0,0.0
7,2000,7_2000,J,11,0,2,0,Other Publishers,0.0,0.0,0,0.0
0,2000,0_2000,J,7,0,2,0,WILEY,0.0,0.0,0,1.0
6,2000,6_2000,J,5,0,2,0,ELSEVIER SCIENCE BV,0.0,0.0,0,1.0
4,2000,4_2000,J,18,0,13,0,Other Publishers,0.0,0.0,0,0.0
12,2000,12_2000,J,7,0,5,0,Other Publishers,0.0,0.0,0,0.0
4,2000,4_2000,J,9,0,5,0,Other Publishers,0.0,0.0,0,0.0
13,2000,13_2000,J,3,0,6,0,Other Publishers,0.0,0.0,0,0.0
6,2000,6_2000,J,5,0,4,0,Other Publishers,0.0,0.0,0,0.0
10,2000,10_2000,J,2,0,2,0,Other Publishers,0.0,0.0,0,0.0
12,2000,12_2000,J,10,0,2,0,Other Publishers,0.0,0.0,0,0.0
2,2000,2_2000,J,3,0,7,0,Other Publishers,0.0,0.0,0,0.0
