Topic_Year,Citation_feature,Topic_num,Five_Year_Percent,Three_Year_Percent,Sum_SJR,Avg_SJR,Year,Topic,Growth_Rate,Citation_Growth_Rate,Year_Growth_Rate,Target,Avg_SJR_1,Avg_SJR_2,Avg_SJR_3,Sum_SJR_1,Sum_SJR_2,Sum_SJR_3,Google Trend,Review_AMT
1_2016,0.00021649793090346668,195.0,0.2165948275862069,0.3441780821917808,241.90599999999995,1.203512437810945,2016,1,0.037234042553191404,0.04493304549862742,0.037319762510602095,0,1.0918564102564101,0.9931329787234038,0.963932291666666,212.91199999999998,186.70899999999992,185.07499999999987,6.009090909090909,12.0
1_2017,0.00018163475346082345,201.0,0.2,0.3288135593220339,231.01200000000006,1.1907835051546394,2017,1,0.03076923076923066,-0.16103238168215206,0.07331698010357046,0,1.203512437810945,1.0918564102564101,0.9931329787234038,241.90599999999995,212.91199999999998,186.70899999999992,7.273584905660377,21.0
1_2018,0.00024310513324592354,194.0,0.2101522842639594,0.3438538205980066,0.0,0.0,2018,1,-0.03482587064676612,0.33842851444373245,0.06500761808024369,0,1.1907835051546394,1.203512437810945,1.0918564102564101,231.01200000000006,241.90599999999995,212.91199999999998,10.529411764705882,24.0
2_2004,0.0008256297585982949,68.0,0.27526132404181186,0.3853658536585366,40.757,0.5159113924050632,2004,2,0.17241379310344818,-0.1994169453071596,0.16083916083916083,1,0.6292058823529411,0.7037241379310343,,42.785999999999994,40.81599999999999,,49.68181818181818,2.0
2_2005,0.0006171650461688986,79.0,0.2727272727272727,0.3950617283950617,55.59299999999999,0.5790937499999999,2005,2,0.16176470588235303,-0.2524917619046524,0.17349397590361448,0,0.5159113924050632,0.6292058823529411,0.7037241379310343,40.757,42.785999999999994,40.81599999999999,51.76470588235294,6.0
2_2006,0.0006852966709443648,96.0,0.25679012345679014,0.3727598566308244,37.25,0.3581730769230769,2006,2,0.21518987341772156,0.11039449689900405,0.3613963039014374,0,0.5790937499999999,0.5159113924050632,0.6292058823529411,55.59299999999999,40.757,42.785999999999994,57.0,1.0
2_2007,0.0005446047984135198,104.0,0.3004032258064516,0.4269340974212034,107.20699999999998,0.7195100671140938,2007,2,0.08333333333333326,-0.20530067997698898,-0.13650075414781293,1,0.3581730769230769,0.5790937499999999,0.5159113924050632,37.25,55.59299999999999,40.757,45.916666666666664,5.0
2_2008,0.0004719608707984534,149.0,0.26837606837606837,0.3829268292682927,111.65200000000003,0.71115923566879,2008,2,0.4326923076923077,-0.1333883355906602,0.46113537117903936,0,0.7195100671140938,0.3581730769230769,0.5790937499999999,107.20699999999998,37.25,55.59299999999999,43.166666666666664,7.0
2_2009,0.0003247310707133146,157.0,0.22153846153846155,0.32,105.07999999999998,0.7297222222222222,2009,2,0.05369127516778516,-0.31195340375582103,0.10579796772265393,0,0.71115923566879,0.7195100671140938,0.3581730769230769,111.65200000000003,107.20699999999998,37.25,45.166666666666664,5.0
2_2010,0.0005240790545011971,144.0,0.2720105124835742,0.4074803149606299,139.2150000000001,0.6725362318840584,2010,2,-0.08280254777070062,0.6138863871263947,0.09297297297297291,0,0.7297222222222222,0.71115923566879,0.7195100671140938,105.07999999999998,111.65200000000003,107.20699999999998,43.5,4.0
2_2011,0.00027907634723989814,207.0,0.22248520710059172,0.34879406307977734,119.69199999999998,0.636659574468085,2011,2,0.4375,-0.46749188916638784,0.185459940652819,1,0.6725362318840584,0.7297222222222222,0.71115923566879,139.2150000000001,105.07999999999998,111.65200000000003,49.333333333333336,4.0
2_2012,0.0004798997216654271,188.0,0.2795031055900621,0.40601503759398494,179.0530000000001,0.6631592592592597,2012,2,-0.09178743961352653,0.7196001252406325,0.052148518982060965,0,0.636659574468085,0.6725362318840584,0.7297222222222222,119.69199999999998,139.2150000000001,105.07999999999998,73.33333333333333,15.0
2_2013,0.00021722299026065206,270.0,0.2543778801843318,0.3760217983651226,175.83499999999998,0.6370833333333332,2013,2,0.43617021276595747,-0.5473575406403466,0.12093576526566219,1,0.6631592592592597,0.636659574468085,0.6725362318840584,179.0530000000001,119.69199999999998,139.2150000000001,74.33333333333333,9.0
2_2014,0.00029508363308532415,276.0,0.25079617834394907,0.36585365853658536,220.12500000000003,0.6988095238095239,2014,2,0.022222222222222143,0.3584364745704167,0.11602405376724434,0,0.6370833333333332,0.6631592592592597,0.636659574468085,175.83499999999998,179.0530000000001,119.69199999999998,79.7,13.0
2_2015,0.000232090520472038,315.0,0.22411242603550297,0.3389261744966443,234.71500000000023,0.7746369636963704,2015,2,0.14130434782608692,-0.21347545424544612,0.12107765451664032,1,0.6988095238095239,0.6370833333333332,0.6631592592592597,220.12500000000003,175.83499999999998,179.0530000000001,58.75,8.0
2_2016,0.00021906852738814108,303.0,0.22192513368983957,0.3494736842105263,215.10000000000014,0.6478915662650606,2016,2,-0.03809523809523807,-0.056107388864534924,0.037319762510602095,0,0.7746369636963704,0.6988095238095239,0.6370833333333332,234.71500000000023,220.12500000000003,175.83499999999998,76.125,19.0
2_2017,0.00022510319282034106,332.0,0.22601010101010102,0.3605236656596173,249.7650000000001,0.6976675977653634,2017,2,0.09570957095709565,0.02754693019644905,0.07331698010357046,1,0.6478915662650606,0.7746369636963704,0.6988095238095239,215.10000000000014,234.71500000000023,220.12500000000003,96.5,15.0
2_2018,0.00021692945577054311,358.0,0.21723518850987433,0.34472934472934474,0.0,0.0,2018,2,0.07831325301204828,-0.03631106670406736,0.06500761808024369,1,0.6976675977653634,0.6478915662650606,0.7746369636963704,249.7650000000001,215.10000000000014,234.71500000000023,109.2,22.0
3_2004,0.001516987638518021,62.0,0.34285714285714286,0.45652173913043476,65.08,0.7747619047619048,2004,3,0.631578947368421,-0.4289896550471962,0.16083916083916083,1,1.1222258064516126,1.060763157894737,,69.57799999999999,40.309000000000005,,4.665938864628821,10.0
3_2005,0.0010153554175293307,84.0,0.34718100890207715,0.4448669201520912,135.11000000000007,1.1547863247863255,2005,3,0.35483870967741926,-0.3306765383261435,0.17349397590361448,1,0.7747619047619048,1.1222258064516126,1.060763157894737,65.08,69.57799999999999,40.309000000000005,4.2305882352941175,8.0
3_2006,0.0009087688939730912,117.0,0.2379746835443038,0.31864406779661014,79.647,0.8473085106382979,2006,3,0.3928571428571428,-0.10497459482276361,0.3613963039014374,1,1.1547863247863255,0.7747619047619048,1.1222258064516126,135.11000000000007,65.08,69.57799999999999,4.454005934718101,12.0
3_2007,0.0009552670297876351,94.0,0.28024193548387094,0.39714285714285713,146.94399999999996,1.0571510791366903,2007,3,-0.19658119658119655,0.05116607327002187,-0.13650075414781293,0,0.8473085106382979,1.1547863247863255,0.7747619047619048,79.647,135.11000000000007,65.08,4.815217391304348,17.0
3_2008,0.000742532978916265,139.0,0.28618421052631576,0.4275184275184275,194.47499999999997,1.1176724137931033,2008,3,0.47872340425531923,-0.22269589992932448,0.46113537117903936,1,1.0571510791366903,0.8473085106382979,1.1547863247863255,146.94399999999996,79.647,135.11000000000007,4.888030888030888,16.0
3_2009,0.0006623642249674919,174.0,0.2681564245810056,0.3801980198019802,277.23999999999984,1.4439583333333326,2009,3,0.2517985611510791,-0.10796659034024347,0.10579796772265393,1,1.1176724137931033,1.0571510791366903,0.8473085106382979,194.47499999999997,146.94399999999996,79.647,5.586046511627907,19.0
3_2010,0.0006485960337249522,192.0,0.2834928229665072,0.39303482587064675,368.431,1.554561181434599,2010,3,0.10344827586206895,-0.02078643550414494,0.09297297297297291,1,1.4439583333333326,1.1176724137931033,1.0571510791366903,277.23999999999984,194.47499999999997,146.94399999999996,5.206422018348624,33.0
3_2011,0.000485561880239667,237.0,0.2689655172413793,0.3888888888888889,355.7820000000001,1.3032307692307696,2011,3,0.234375,-0.2513647093229412,0.185459940652819,1,1.554561181434599,1.4439583333333326,1.1176724137931033,368.431,277.23999999999984,194.47499999999997,5.58,19.0
3_2012,0.0004607712266606665,273.0,0.25446808510638297,0.3695920889987639,433.80600000000015,1.4508561872909704,2012,3,0.1518987341772151,-0.05105560091900985,0.052148518982060965,1,1.3032307692307696,1.554561181434599,1.4439583333333326,355.7820000000001,368.431,277.23999999999984,5.962765957446808,26.0
3_2013,0.00049608417159431,299.0,0.26288659793814434,0.38428417653390745,473.2249999999997,1.325560224089635,2013,3,0.09523809523809534,0.07663878057136064,0.12093576526566219,0,1.4508561872909704,1.3032307692307696,1.554561181434599,433.80600000000015,355.7820000000001,368.431,6.08235294117647,30.0
3_2014,0.0003676717143573937,357.0,0.25921219822109276,0.38345864661654133,570.1379999999994,1.3973970588235278,2014,3,0.19397993311036799,-0.2588521557223359,0.11602405376724434,1,1.325560224089635,1.4508561872909704,1.3032307692307696,473.2249999999997,433.80600000000015,355.7820000000001,6.236363636363636,45.0
3_2015,0.0003356274304055305,408.0,0.25598219254312743,0.37551020408163266,579.2799999999999,1.2593043478260866,2015,3,0.1428571428571428,-0.08715460749508364,0.12107765451664032,1,1.3973970588235278,1.325560224089635,1.4508561872909704,570.1379999999994,473.2249999999997,433.80600000000015,6.5394736842105265,59.0
3_2016,0.00031093525719142243,460.0,0.24329692154915591,0.36082474226804123,592.6149999999998,1.2094183673469383,2016,3,0.12745098039215685,-0.07357018818239358,0.037319762510602095,1,1.2593043478260866,1.3973970588235278,1.325560224089635,579.2799999999999,570.1379999999994,473.2249999999997,7.144927536231884,53.0
